object_id,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,name,county,Longitude,Latitude,pred_absolute,pred_percent,pred_party
3054,962,161,95,13,1116,45,12,82,9,6,13,10,3,14,37,8,Vidra,Vrancea,26.9089813,45.9163895,1116,43.16,g5
3055,151,163,105,703,293,44,6,30,5,2,2,3,0,1,5,13,Viile Satu Mare,Satu Mare,22.977188100000003,47.6674538,703,46.07,g4
3056,22,15,9,567,65,4,5,4,0,2,0,3,0,1,0,0,Viișoara,Bihor,22.4158669,47.4030342,567,81.35,g4
3057,224,44,92,6,113,17,22,19,8,2,5,5,3,5,5,3,Viișoara,Botoșani,26.748073600000005,48.162136100000005,224,39.09,g1
3058,356,276,74,364,648,38,6,79,11,10,10,2,2,9,16,22,Viișoara,Cluj,23.935564000000003,46.5661774,648,33.7,g5
3059,92,34,17,5,211,11,1,11,3,2,4,15,1,4,1,4,Viișoara,Mureș,24.579029100000003,46.298927299999995,211,50.72,g5
3060,264,44,20,1,544,28,5,21,5,1,1,7,1,5,8,5,Viișoara,Teleorman,25.226366,43.7707405,544,56.67,g5
3061,248,65,26,6,112,48,5,19,6,3,3,1,2,3,9,2,Viișoara,Vaslui,27.8874702,46.3900414,248,44.44,g1
3062,348,149,94,6,700,38,6,81,6,11,7,4,5,10,3,11,Vîlcănești,Prahova,25.937847100000003,45.1327591,700,47.33,g5
3063,311,96,42,190,262,22,2,33,10,3,11,154,1,7,33,10,Vîlcele,Covasna,25.6757126,45.825050399999995,311,26.2,g1
3064,349,31,185,3,65,6,11,33,4,6,4,7,1,2,6,2,Vîlcelele,Buzău,27.3664627,45.3477592,349,48.81,g1
